"DOWN","YTG","FIELD_LOC","FIRST_DOWN_PCT","SNAPS"
1,1,"My 20 to my 39",100,2
1,1,"My 40 to your 40",100,1
1,1,"Your 19 to your Goal",91.1,1895
1,1,"Your 39 to your 20",100,2
1,2,"My 20 to my 39",0,1
1,2,"My 40 to your 40",100,2
1,2,"Your 19 to your Goal",86.6,1795
1,2,"Your 39 to your 20",100,2
1,3,"My 20 to my 39",75,4
1,3,"My 40 to your 40",75,4
1,3,"Your 19 to your Goal",84.9,1431
1,3,"Your 39 to your 20",100,2
1,4,"My 20 to my 39",100,2
1,4,"My 40 to your 40",80,5
1,4,"Your 19 to your Goal",79.4,1461
1,4,"Your 39 to your 20",100,4
1,5,"My 20 to my 39",85.1,309
1,5,"My 40 to your 40",84.6,350
1,5,"My Goal to my 19",83.3,84
1,5,"Your 19 to your Goal",77.8,1595
1,5,"Your 39 to your 20",85.8,275
1,6,"My 20 to my 39",80,10
1,6,"My 40 to your 40",77.8,9
1,6,"My Goal to my 19",50,2
1,6,"Your 19 to your Goal",74.3,1438
1,6,"Your 39 to your 20",66.7,6
1,7,"My 20 to my 39",80,5
1,7,"My 40 to your 40",66.7,3
1,7,"My Goal to my 19",100,1
1,7,"Your 19 to your Goal",72,1502
1,7,"Your 39 to your 20",100,2
1,8,"My 20 to my 39",50,6
1,8,"My 40 to your 40",75,4
1,8,"My Goal to my 19",50,6
1,8,"Your 19 to your Goal",69.5,1539
1,8,"Your 39 to your 20",100,3
1,9,"My 20 to my 39",63.6,11
1,9,"My 40 to your 40",50,8
1,9,"My Goal to my 19",100,3
1,9,"Your 19 to your Goal",66.2,1669
1,9,"Your 39 to your 20",50,8
1,10,"My 20 to my 39",67.6,83457
1,10,"My 40 to your 40",71.2,62416
1,10,"My Goal to my 19",65.6,22914
1,10,"Your 19 to your Goal",65.8,14991
1,10,"Your 39 to your 20",71.7,43056
1,11,"My 20 to my 39",37.5,8
1,11,"My 40 to your 40",92.9,14
1,11,"My Goal to my 19",45.2,31
1,11,"Your 19 to your Goal",54.5,33
1,11,"Your 39 to your 20",88.9,9
1,12,"My 20 to my 39",57.1,7
1,12,"My 40 to your 40",50,8
1,12,"My Goal to my 19",63.9,36
1,12,"Your 19 to your Goal",58.3,36
1,12,"Your 39 to your 20",77.8,9
1,13,"My 20 to my 39",66.7,12
1,13,"My 40 to your 40",54.5,11
1,13,"My Goal to my 19",64.6,48
1,13,"Your 19 to your Goal",58.3,60
1,13,"Your 39 to your 20",60,10
1,14,"My 20 to my 39",64,25
1,14,"My 40 to your 40",66.7,21
1,14,"My Goal to my 19",54.8,62
1,14,"Your 19 to your Goal",51,49
1,14,"Your 39 to your 20",75,12
1,15,"My 20 to my 39",55.6,1468
1,15,"My 40 to your 40",56.8,1085
1,15,"My Goal to my 19",52.7,728
1,15,"Your 19 to your Goal",51.9,160
1,15,"Your 39 to your 20",53.7,903
1,16,"My 20 to my 39",46.9,32
1,16,"My 40 to your 40",80,30
1,16,"My Goal to my 19",36.8,38
1,16,"Your 19 to your Goal",43.8,16
1,16,"Your 39 to your 20",65.6,32
1,17,"My 20 to my 39",51.9,27
1,17,"My 40 to your 40",51.7,29
1,17,"My Goal to my 19",44.1,59
1,17,"Your 19 to your Goal",38.1,21
1,17,"Your 39 to your 20",58.3,24
