REBOUNDER,WIN_LOSS,X,Y
Dion Waiters,W,10.09496,39.52578
Tristan Thompson,W,11.5336,2.00857
Tristan Thompson,W,7.57027,15.41864
Anderson Varejao,W,6.60664,38.15853
Tristan Thompson,W,25.63556,29.10738
Tristan Thompson,W,8.37078,29.99675
Kevin Love,W,11.19958,42.47784
Anderson Varejao,W,29.45472,22.25345
LeBron James,W,5.44977,7.37756
Tristan Thompson,W,4.6618,20.69233
Tristan Thompson,W,8.16162,17.16573
Anderson Varejao,W,10.94327,22.56171
Tristan Thompson,W,19.63591,30.12104
Tristan Thompson,W,3.71847,27.83019
Tristan Thompson,W,7.46842,18.87116
Tristan Thompson,W,2.78317,33.59658
Tristan Thompson,W,9.58939,42.0969
Kevin Love,W,5.73325,31.05175
Kevin Love,W,5.51781,24.30085
Shawn Marion,W,7.65538,29.55597
Anderson Varejao,W,23.24644,29.84846
Kevin Love,L,21.06535,37.77761
Tristan Thompson,L,10.51174,20.71735
Matthew Dellavedova,L,19.99918,12.97152
Matthew Dellavedova,L,4.98793,2.60761
Anderson Varejao,L,8.17127,17.81268
Anderson Varejao,L,17.42771,24.15431
Tristan Thompson,L,2.97512,48.78687
Kyrie Irving,L,3.14064,2.33047
Kevin Love,L,13.07413,39.13524
Kevin Love,L,7.84858,29.68434
LeBron James,L,35.51517,39.72013
Kyrie Irving,L,30.82706,30.03435
Anderson Varejao,L,8.20563,17.33979
Anderson Varejao,L,5.8716,25.06814
Tristan Thompson,L,5.365,29.08631
LeBron James,L,3.84104,2.20849
Tristan Thompson,L,27.001,38.26813
Kevin Love,L,11.22023,1.65484
Kevin Love,L,28.2691,9.34425
Kevin Love,L,7.13514,25.41557
Kevin Love,L,4.26197,29.80376
Shawn Marion,L,31.02653,26.92706
Kevin Love,L,27.25505,34.99671
LeBron James,L,6.78776,25.05169
Timofey Mozgov,L,23.66871,26.32477
Timofey Mozgov,L,6.45694,24.92169
Kevin Love,L,24.32378,40.8847
Shawn Marion,L,6.23837,26.85299
Tristan Thompson,L,18.45273,4.35288
Shawn Marion,L,8.35144,20.15779
Tristan Thompson,L,9.53246,2.90197
Tristan Thompson,L,12.32393,30.78286
Tristan Thompson,L,4.98183,2.91057
Kevin Love,L,6.18116,24.90757
Shawn Marion,L,4.79373,28.02053
Kevin Love,L,5.50139,24.2186
Tristan Thompson,L,15.47722,3.39493
Tristan Thompson,L,8.49126,15.0414
Tristan Thompson,L,7.42942,22.35407
Matthew Dellavedova,L,23.69931,6.68754
Tristan Thompson,L,9.94124,30.00048
Kevin Love,L,7.66445,27.21466
Tristan Thompson,L,18.65868,14.68058
Anderson Varejao,L,15.43846,47.41636
Kyrie Irving,L,6.87938,28.76351
Tristan Thompson,L,7.87859,26.45589
Matthew Dellavedova,L,28.28324,15.09828
Shawn Marion,L,3.54241,23.85249
Tristan Thompson,L,7.31151,20.38678
Tristan Thompson,L,18.69488,46.39366
Kevin Love,L,28.31084,13.27836
Tristan Thompson,L,28.1049,37.96609
Tristan Thompson,L,19.68498,45.64206
Anderson Varejao,L,18.00869,10.97617
Anderson Varejao,L,11.38973,2.60238
Tristan Thompson,L,3.71291,26.08608
Tristan Thompson,L,5.65711,26.54364
Kyrie Irving,L,8.92629,21.8036
Louis Amundson,L,10.60738,47.81457
Louis Amundson,L,20.47322,25.18451
Tristan Thompson,L,11.34966,38.76729
Kyrie Irving,L,20.06545,43.99386
Kevin Love,L,8.08052,15.02631
Joe Harris,L,6.51332,48.31849
Tristan Thompson,L,29.54047,30.9442
James Jones,L,22.14163,7.41747
Timofey Mozgov,L,24.69601,40.77966
Kyrie Irving,L,14.14431,17.05043
Tristan Thompson,L,8.45815,9.5045
Kyrie Irving,L,28.48583,16.7427
Tristan Thompson,L,6.63703,22.92294
Timofey Mozgov,L,21.09072,17.097
James Jones,L,5.73254,22.47126
Kyrie Irving,L,8.52966,48.43164
Tristan Thompson,W,6.81475,26.47346
Tristan Thompson,W,19.10278,5.64889
Kevin Love,W,16.4363,3.62208
Tristan Thompson,W,6.96782,18.43025
J.R. Smith,W,30.60647,29.41057
Iman Shumpert,W,11.69097,47.45897
