"YTG_START","QTR_START","T_ELAPSED","TOT_YDS","FIRST_DOWNS","NPLAYS","POINTS","PLAYS_PER_1STDOWN","FG","TD","INT","FUMBLE","BLITZ_PER_PLAY","YDS_PER_PLAY","CARRY","ATT"
36,1,155,20,1,6,3,3,1,0,0,0,0.17,3.33,5,0
72,4,85,-1,0,4,0,4,0,0,0,0,0.25,2.25,5.5,0
78,3,132,11,1,5,0,2.5,0,0,0,0,0.6,2.2,3.67,0
70,4,44,-8,0,4,0,4,0,0,0,0,0,-2,0,0
71,3,139,1,1,5,0,2.5,0,0,0,0,0.2,3.2,3,2.6
77,1,365,59,3,12,0,3,0,0,0,0,0.33,4.92,1.5,7.57
93,1,214,41,3,6,0,1.5,0,0,0,0,0.17,8,1,10.6
76,3,274,47,3,9,3,2.3,1,0,0,0,0.11,5.22,3.25,8.5
68,2,176,29,2,6,0,2,0,0,0,0,0.5,4.83,9.5,2.5
78,1,228,18,1,6,0,3,0,0,0,0,0.67,7.67,0,5.75
79,2,226,14,3,6,0,1.5,0,0,0,0,0.17,2.67,1.67,4.5
73,1,280,73,5,8,7,1.3,0,1,0,0,0,9.75,5,11.33
69,1,93,69,1,3,7,1.5,0,1,0,0,0.33,23,1,67
87,1,235,27,2,7,0,2.3,0,0,0,0,0.29,3.86,5.25,2
66,1,56,1,0,3,0,3,0,0,0,0,0,0.33,1,0
76,1,166,24,1,4,0,2,0,0,0,0,0,6,3,15
76,2,63,48,3,8,0,2,0,0,0,0,0.25,6,11,5.2
69,1,252,30,2,6,0,2,0,0,0,0,0.17,6.67,3,10.33
39,2,8,0,0,1,0,1,0,0,1,0,0,14,0,14
82,1,89,12,1,3,0,1.5,0,0,0,1,0,4.67,0,7
83,3,174,23,1,5,0,2.5,0,0,0,0,0.8,4.6,3.5,5.33
77,1,199,25,2,8,0,2.7,0,0,0,0,0,2.5,3.67,1.5
80,1,55,2,0,3,0,3,0,0,0,0,0.33,0.67,2,0
47,1,227,47,4,8,7,1.6,0,1,0,0,0.25,5.88,7,4.75
56,2,110,32,2,7,3,2.3,1,0,0,0,0.29,4.57,9.5,3.25
90,1,95,-7,0,3,0,3,0,0,0,0,0,-2.33,-3.5,0
86,3,248,77,3,9,3,2.3,1,0,0,0,0.33,8.56,7.5,11.75
2,2,17,2,1,2,7,1,0,1,0,0,0,0,-2,2
70,1,177,51,2,6,3,2,1,0,0,0,0.33,10,12,0
67,2,112,52,3,8,0,2,0,0,0,0,0.25,7.13,10.5,6
86,3,54,4,0,3,0,3,0,0,0,0,0,1.33,0,1.33
90,2,44,3,0,1,0,1,0,0,0,0,0,3,3,0
59,1,170,59,3,6,7,1.5,0,1,0,0,0,9.83,13,7
