"TEAM","P1","P2","P3","P4","P5","PLAYS","RUN_PLAYS","PASS_PLAYS","TDS","BLITZ_PROB","TOT_YDS","RUSH_YDS","PASS_YDS","YDS_PER_PLAY","ATT","TARGETS","RECEPTIONS","COMPL_PRCNT","YDS_PER_CARRY","YDS_PER_COMP","YDS_PER_ATT","BLITZ"
"Air Force Falcons","Garrett Griffin","Garrett Brown","Jalen Robinette","Shayne Davern","Jacobi Owens",94,72,22,1,0.04,641,398,243,6.8,21,21,14,66.7,5.5,17.4,11.6,4
"Air Force Falcons","Broam Hart","Garrett Griffin","Garrett Brown","Jalen Robinette","Jacobi Owens",79,60,19,1,0.05,403,275,128,5,17,17,9,52.9,4.6,14.2,7.5,4
"Air Force Falcons","Total","Total","Total","Total","Total",1002,784,218,15,0.08,5428,3544,1893,5.3,206,204,117,57.4,4.5,16.2,9.2,85
"Alabama Crimson Tide","Jalston Fowler","Brian Vogler","DeAndrew White","Amari Cooper","T.J. Yeldon",72,36,36,2,0.12,514,123,387,6.9,35,35,27,77.1,3.4,14.3,11.1,9
"Alabama Crimson Tide","DeAndrew White","Christion Jones","Amari Cooper","Derrick Henry","O.J. Howard",52,27,25,1,0.15,345,172,173,6.6,24,23,15,65.2,6.4,11.5,7.2,8
"Alabama Crimson Tide","DeAndrew White","Christion Jones","Amari Cooper","T.J. Yeldon","O.J. Howard",80,28,52,3,0.19,529,160,369,6.5,50,51,31,60.8,5.7,11.9,7.4,15
"Alabama Crimson Tide","Brian Vogler","DeAndrew White","Christion Jones","Amari Cooper","T.J. Yeldon",55,30,25,2,0.18,291,155,136,5.2,25,25,12,48,5.2,11.3,5.4,10
"Alabama Crimson Tide","Total","Total","Total","Total","Total",959,507,452,31,0.15,6412,2619,3775,6.6,437,433,280,64.7,5.2,13.5,8.6,148
"Arizona State Sun Devils","Deantre Lewis","Gary Chambers","D.J. Foster","Cameron Smith","Jaelen Strong",57,16,41,1,0.18,370,44,327,6.2,36,34,23,67.6,2.8,14.2,9.1,11
"Arizona State Sun Devils","Gary Chambers","D.J. Foster","Kody Kohl","Cameron Smith","Jaelen Strong",101,39,62,4,0.19,642,215,427,6.4,59,57,29,50.9,5.5,14.7,7.2,19
"Arizona State Sun Devils","D.J. Foster","Kody Kohl","De'Marieya Nelson","Cameron Smith","Jaelen Strong",122,67,55,4,0.14,952,408,548,7.6,52,52,40,76.9,6.1,13.7,10.5,18
"Arizona State Sun Devils","D.J. Foster","Kody Kohl","Cameron Smith","Jaelen Strong","Demario Richard",61,41,20,1,0.08,375,253,122,6.1,19,19,12,63.2,6.2,10.2,6.4,5
"Arizona State Sun Devils","Total","Total","Total","Total","Total",961,456,505,34,0.17,5749,2196,3556,5.8,466,461,281,61,4.8,12.7,7.6,168
"Arizona Wildcats","Total","Total","Total","Total","Total",1137,531,606,29,0.19,6460,2516,3955,5.6,566,544,322,59.2,4.7,12.3,7,225
"Arizona Wildcats","Austin Hill","Cayleb Jones","Davonte' Neal","Samajie Grant","Nick Wilson",96,47,49,2,0.18,605,195,410,6.2,45,44,27,61.4,4.1,15.2,9.1,18
"Arizona Wildcats","Austin Hill","Terris Jones-Grigsby","Cayleb Jones","Davonte' Neal","Samajie Grant",66,32,34,1,0.16,487,222,263,7.1,33,30,17,56.7,6.9,15.5,8,11
"Arizona Wildcats","Austin Hill","Trey Griffey","Cayleb Jones","Samajie Grant","Nick Wilson",55,27,28,1,0.16,269,165,104,4.9,27,26,12,46.2,6.1,8.7,3.9,9
"Arizona Wildcats","Austin Hill","Terris Jones-Grigsby","Cayleb Jones","Samajie Grant","Nate Phillips",60,32,28,1,0.29,405,138,267,6.4,26,25,15,60,4.3,17.8,10.3,18
"Arkansas Razorbacks","Total","Total","Total","Total","Total",838,488,350,19,0.16,4792,2506,2293,5.5,336,330,185,56.1,5.1,12.4,6.8,141
