"NAME","P1","P2","P3","P4","P5","BLITZ_PROB","YDS_PER_PLAY","COMPL_PRCNT","YDS_PER_CARRY","YDS_PER_COMP","YDS_PER_ATT"
"Air Force Falcons","Garrett Griffin","Garrett Brown","Jalen Robinette","Shayne Davern","Jacobi Owens",0.04,6.8,66.7,5.5,17.4,11.6
"Air Force Falcons","Broam Hart","Garrett Griffin","Garrett Brown","Jalen Robinette","Jacobi Owens",0.05,5,52.9,4.6,14.2,7.5
"Air Force Falcons","Total","Total","Total","Total","Total",0.08,5.3,57.4,4.5,16.2,9.2
"Alabama Crimson Tide","Jalston Fowler","Brian Vogler","DeAndrew White","Amari Cooper","T.J. Yeldon",0.12,6.9,77.1,3.4,14.3,11.1
"Alabama Crimson Tide","DeAndrew White","Christion Jones","Amari Cooper","Derrick Henry","O.J. Howard",0.15,6.6,65.2,6.4,11.5,7.2
"Alabama Crimson Tide","DeAndrew White","Christion Jones","Amari Cooper","T.J. Yeldon","O.J. Howard",0.19,6.5,60.8,5.7,11.9,7.4
"Alabama Crimson Tide","Brian Vogler","DeAndrew White","Christion Jones","Amari Cooper","T.J. Yeldon",0.18,5.2,48,5.2,11.3,5.4
"Alabama Crimson Tide","Total","Total","Total","Total","Total",0.15,6.6,64.7,5.2,13.5,8.6
"Arizona State Sun Devils","Deantre Lewis","Gary Chambers","D.J. Foster","Cameron Smith","Jaelen Strong",0.18,6.2,67.6,2.8,14.2,9.1
"Arizona State Sun Devils","Gary Chambers","D.J. Foster","Kody Kohl","Cameron Smith","Jaelen Strong",0.19,6.4,50.9,5.5,14.7,7.2
"Arizona State Sun Devils","D.J. Foster","Kody Kohl","De'Marieya Nelson","Cameron Smith","Jaelen Strong",0.14,7.6,76.9,6.1,13.7,10.5
"Arizona State Sun Devils","D.J. Foster","Kody Kohl","Cameron Smith","Jaelen Strong","Demario Richard",0.08,6.1,63.2,6.2,10.2,6.4
"Arizona State Sun Devils","Total","Total","Total","Total","Total",0.17,5.8,61,4.8,12.7,7.6
"Arizona Wildcats","Total","Total","Total","Total","Total",0.19,5.6,59.2,4.7,12.3,7
"Arizona Wildcats","Austin Hill","Cayleb Jones","Davonte' Neal","Samajie Grant","Nick Wilson",0.18,6.2,61.4,4.1,15.2,9.1
"Arizona Wildcats","Austin Hill","Terris Jones-Grigsby","Cayleb Jones","Davonte' Neal","Samajie Grant",0.16,7.1,56.7,6.9,15.5,8
"Arizona Wildcats","Austin Hill","Trey Griffey","Cayleb Jones","Samajie Grant","Nick Wilson",0.16,4.9,46.2,6.1,8.7,3.9
