"PLAYER","POS","MYGOAL","MY20","MY30","MY40","MY50","YOUR40","YOUR30","YOUR20","YOUR10","YOURGOAL"
"Peyton Manning","QB",40.4,10.7,3.6,1,4.1,3.8,-1.9,0.8,14.9,4.1
"Aaron Rodgers","QB",10.4,17.6,7.1,2,3.5,10.3,11.4,11.8,9.7,-6.2
"Drew Brees","QB",0.4,14.7,4.8,5.7,5.7,14.9,5.8,0.7,7,4.1
"Tony Romo","QB",-3.9,1.8,11.3,11.4,2.2,-5.6,10.4,11.5,17.8,6.1
"Matt Ryan","QB",7.5,-7.5,8.3,2.2,8.6,6.4,-3.9,8.1,2.1,13.6
"Ben Roethlisberger","QB",3.3,3.9,6.6,6.5,6.7,6.7,16.8,-9,0.8,-1.3
"Tom Brady","QB",-4.8,-8.4,6.8,9,-1.4,14.6,-0.8,8,6.5,-1.7
"Ryan Tannehill","QB",-3.2,5.9,3.7,4.2,2.2,-1.1,9.4,3.1,1.5,-1.7
"Eli Manning","QB",10.4,-9.6,7.2,0.6,-5.4,0.8,3.4,23.1,-9.4,2.2
"Philip Rivers","QB",-8.8,0.7,6.1,4.3,1.7,12,2.6,4.7,-1.4,-3.3
"Joe Flacco","QB",-1.1,-2.9,8.1,-1.3,7.3,1.5,4.3,9.9,-2,-7.8
"Andrew Luck","QB",-3.2,-7.7,4.1,8.2,6.4,-9.8,5.1,10.4,-0.3,-3.3
"Jay Cutler","QB",4.2,-2.6,3.3,-9.8,3.5,4.5,-8.4,3.5,5.4,2.2
"Russell Wilson","QB",10.4,12.9,-5.1,-0.1,6.3,-1.1,-8.5,-2.5,2.3,-11.7
"Andy Dalton","QB",-11,-0.8,4.2,-2.1,0.1,12.6,-7.1,-1.8,8.7,-1.9
"Colin Kaepernick","QB",19.2,13.4,-5.9,7,-7.6,-6.5,-5.4,-15.4,2.9,-6.6
"Alex Smith","QB",-11,2.6,3.4,3.7,-8.1,3.1,8.3,-1.2,3.2,-9.2
"Cam Newton","QB",-28.5,0.3,2.6,3.2,9.3,-2.7,5.1,-1.9,-5.2,2.4
"Matthew Stafford","QB",10.4,1.7,-1.1,-5,-4.2,5.7,-12.7,-12.6,0.5,-5.9
"Derek Carr","QB",-8.8,-10.2,-8.4,-3.9,-4.4,-7,2.1,-8.6,2.6,18.4
